tree.number.20,median.shifts.20,ESS.shifts.20,ESS.logLik.20,root.lambda.mean.20,root.mu.mean.20,root.lambda.decay.20,root.mu.decay.20,tip.lambda.mean.20,tip.mu.mean.20,median.shifts.50,ESS.shifts.50,ESS.logLik.50,root.lambda.mean.50,root.mu.mean.50,root.lambda.decay.50,root.mu.decay.50,tip.lambda.mean.50,tip.mu.mean.50,median.shifts.80,ESS.shifts.80,ESS.logLik.80,root.lambda.mean.80,root.mu.mean.80,root.lambda.decay.80,root.mu.decay.80,tip.lambda.mean.80,tip.mu.mean.80,median.shifts.s20,ESS.shifts.s20,ESS.logLik.s20,root.lambda.mean.s20,root.mu.mean.s20,root.lambda.decay.s20,root.mu.decay.s20,tip.lambda.mean.s20,tip.mu.mean.s20
1,0,1036,302.9544504,8.167313803,6.220696409,-0.087161727,-0.087161727,5.647158096,6.219304656,0,856,226.4906679,5.576624474,4.669124089,-0.029191476,-0.029191476,4.643688361,4.667509909,0,856.7146103,304.8284212,4.523716126,3.451582303,-0.064886789,-0.064886789,3.012832003,3.454351289,0,316,316,5.463437468,3.807227921,0.037954797,0.037954797,4.671318375,3.82678915
2,0,811,282.2846167,5.718734846,4.691608438,-0.043668517,-0.043668517,4.305194396,4.684558268,0,901,261.1977123,5.396473552,5.026192297,-0.000782884,-0.000782884,4.825124084,5.016504721,0,299.7444565,1405.373578,3.056984438,4.247097283,0.101061041,0.101061041,4.745120704,4.526711242,0,406,406,8.233695911,4.510824766,-0.217666633,-0.217666633,4.798110772,4.510692331
3,0,271,271,4.146050406,3.396413804,0.039633049,0.039633049,3.671742752,3.397515944,0,541,289.9053868,4.898783122,3.648232277,-0.0947785,-0.0947785,2.923184421,3.655765956,0,316,316,2.678401823,3.062760017,0.102352154,0.102352154,3.007510836,3.113944749,0,367.0811523,496,4.118355746,2.431711378,0.181666366,0.181666366,3.777769547,2.453312893
4,0,894.9048756,295.110199,12.08823178,9.061070237,-0.094060519,-0.094060519,8.259980391,9.060850232,0,4286.387466,165.3838558,14.32161001,11.5133695,-0.067165086,-0.067165086,10.14312226,11.5132302,0,2198.648576,297.140496,8.831364099,7.551757791,-0.036470131,-0.036470131,6.830200949,7.547151354,0,1036,374.3370887,12.32838986,7.19395668,-0.199239466,-0.199239466,8.17703765,7.194017491
5,0,388.951686,380.7601603,6.209965373,4.774613286,-0.041978706,-0.041978706,4.613489294,4.795388366,0,249.6860918,310.1282728,4.50808157,4.524532096,0.121691147,0.121691147,4.697831709,4.577637925,0,262.402846,406,2.586045309,3.256757754,0.267629766,0.267629766,3.086602271,3.233029748,0,271,271,7.328913173,2.884136671,0.123064636,0.123064636,5.899245708,2.907889985
6,0,452.3009089,300.2732248,12.40173892,8.129079896,-0.219472003,-0.219472003,6.697991938,8.132879529,0,631,333.7873665,9.575805895,6.291991696,-0.21660654,-0.21660654,4.732632643,6.29117692,0,390.2898638,228.5369014,10.11650837,7.804553225,-0.124169896,-0.124169896,6.217078716,7.862508013,0,258.4146962,316,6.965925411,2.682475291,-0.020050638,-0.020050638,5.120314026,2.684116657
7,0,541,205.7537824,1.146343887,1.956908318,0.8658701,0.8658701,2.29146803,1.956900506,0,271,271,1.225752768,2.243761919,0.830516793,0.830516793,2.45091542,2.243777719,0,623.2446649,245.9136587,4.203401209,3.017322702,0.092531823,0.092531823,2.408374128,3.017306576,0,1666,258.299196,4.925529598,2.670536423,-0.100377901,-0.100377901,2.925488172,2.670541449
8,0,766,217.0506375,8.134719739,5.362964386,-0.105140394,-0.105140394,4.537674649,5.362955325,0,1981,323.4741268,7.984940202,5.557582585,-0.084699762,-0.084699762,4.549656655,5.557540405,0,4163.984985,239.6859399,8.655110722,6.417063488,-0.067185734,-0.067185734,5.094059153,6.416170112,0,149.0477336,316,8.004947753,4.298288513,-0.176963007,-0.176963007,4.417137784,4.298480758
9,0,1216,305.7341255,14.9473895,9.66943972,-0.238100531,-0.238100531,7.967958965,9.669782402,0,1711,259.3493919,13.88754079,10.02696261,-0.167315036,-0.167315036,8.202015241,10.025662,0,1090.761584,368.5744888,10.97875183,8.142744212,-0.148512706,-0.148512706,6.211495249,8.135745306,0,257.5792491,307.8624423,8.857913546,5.094501806,0.024632305,0.024632305,7.156904176,5.100606955
10,0,631,404.9713813,10.14396252,7.120660158,-0.110948827,-0.110948827,6.526826216,7.119932796,0,913.1499918,229.7844556,11.84983365,9.129466101,-0.081822794,-0.081822794,8.028038044,9.129098022,0,2026,229.3195898,9.527316747,7.266998835,-0.090014746,-0.090014746,5.894994235,7.265523801,0,496,262.2200381,13.38911827,8.309545968,-0.208893659,-0.208893659,8.28481108,8.309592205
11,0,1576,230.6421012,5.749466485,4.111676904,-0.087032011,-0.087032011,3.366317181,4.110846847,0,271,271,2.999934465,3.836917897,0.103120274,0.103120274,4.139222728,3.835740532,0,362.5251346,316.6555365,2.449578582,3.293541412,0.077773144,0.077773144,3.42660809,3.306010656,0,541,247.630172,7.614528872,4.938165305,-0.172915189,-0.172915189,4.635803889,4.937868667
12,0,291.5144735,286.1071568,7.79153473,5.341663093,-0.121885176,-0.121885176,4.707032675,5.341583417,0,496,314.9210701,9.996823649,6.904866512,-0.128467754,-0.128467754,5.443906616,6.903898688,1,262.862414,385.6713476,2.515987893,2.158628942,-0.065923797,-0.065923797,2.928813076,2.827136556,0,282.0451114,228.473001,6.5550133,3.575591232,-0.138612836,-0.138612836,4.253066673,3.576131682
13,0,901,251.5279957,7.73304616,5.286459678,-0.109612888,-0.109612888,4.724476815,5.286185535,0,496,262.0117329,9.478177278,6.268443871,-0.12707436,-0.12707436,4.892958156,6.264548961,0,1243.382867,370.5984486,5.636723306,3.609405011,-0.137781216,-0.137781216,2.358400797,3.603705452,0,451,301.9311739,4.420630222,2.947824563,0.100304048,0.100304048,4.461576661,2.949713137
14,0,451,372.5822608,1.816941042,3.108188692,1.125886364,1.125886364,3.626609693,3.108333872,0,235.8276103,324.1258898,2.05564867,3.789117857,1.082088685,1.082088685,4.107589226,3.789272661,0,811,254.1216519,7.962498422,5.801671628,-0.072899777,-0.072899777,4.689355331,5.801515878,0,586,266.3839933,6.4455757,3.734465034,-0.127612881,-0.127612881,4.380362937,3.734363099
15,0,399.5418708,249.713135,6.842284614,5.278010105,0.198226668,0.198226668,4.857514786,5.278011277,0,290.2468024,304.9447562,2.083782715,3.925523546,1.273519175,1.273519175,4.167317106,3.925540103,0,190.562766,388.0247002,7.724760354,6.124247484,-0.042795381,-0.042795381,5.153539046,6.135844086,0,152.7688616,361,2.232531856,3.201219723,1.815042584,1.815042584,4.45203562,3.201120427
16,0,489.2211294,263.6808203,10.55887308,6.642871893,-0.180408809,-0.180408809,5.581385633,6.642643742,0,1351,292.5923193,11.7530055,8.224410533,-0.134033774,-0.134033774,6.762216615,8.224109025,0,1069.960329,318.8362855,10.43973965,7.303429827,-0.123760267,-0.123760267,5.622024059,7.302449116,0,579.501694,296.9816599,8.19146743,4.590954042,-0.185399276,-0.185399276,5.505416122,4.591931038
17,0,354.5391885,496,3.326161547,3.634273394,0.132203137,0.132203137,3.886829855,3.802032746,0,306.8265764,631,4.942776758,6.99883341,0.250811752,0.250811752,7.127210876,7.180778827,0,316,286.0194052,5.507580589,4.028787785,0.326795026,0.326795026,4.992903503,4.104510208,0,496,288.7387491,11.46021427,6.6287152,-0.445652489,-0.445652489,5.678766882,6.627575469
18,0,3016,298.0956501,4.615013564,3.453666323,-0.048652614,-0.048652614,2.818192114,3.452811502,0,1333.951484,273.2848082,3.212843775,2.607936406,-0.026152861,-0.026152861,2.268868928,2.607046072,1,406.0376125,852.6910266,0.720890149,1.041889446,0.027627152,0.027627152,1.310050152,1.316099268,0,503.516035,281.8408744,3.975260412,2.244347765,-0.109453675,-0.109453675,2.257315252,2.244366582
19,0,586,257.4525527,6.586783345,4.628767978,-0.129132229,-0.129132229,4.056791286,4.634874798,0,308.5509662,314.0535676,1.866886753,1.755716434,0.051454054,0.051454054,1.819000415,1.866272788,0,296.6632529,361,2.483914389,3.86577401,0.176461486,0.176461486,3.228987962,3.937660679,0,330.1343181,329.1808507,7.283700887,4.767672488,0.027798941,0.027798941,5.912629617,4.754265031
20,0,633.7011882,327.8634939,11.59655707,8.006462433,-0.139150969,-0.139150969,6.897828075,8.006441706,0,1663.131362,401.4213054,12.64269969,9.162560212,-0.113513562,-0.113513562,7.562938602,9.162684221,0,4501,247.3073628,10.21021315,7.282748509,-0.107828842,-0.107828842,5.583090515,7.282560885,0,1171,296.8770156,11.07981664,6.047978548,-0.278321289,-0.278321289,6.323271065,6.048096497
21,0,451,253.5847999,8.196133282,6.193850776,-0.06797922,-0.06797922,5.405011781,6.193287767,0,451,245.3752089,6.456194612,5.544784146,-0.028318193,-0.028318193,5.138776118,5.544492239,0,541,234.5990112,2.810203623,3.1981261,0.041851974,0.041851974,3.466327587,3.199308436,0,451,264.8950627,7.126281951,4.226372239,-0.167732765,-0.167732765,4.33029845,4.226595947
