tree_number,models.80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,cga.80,cga.50,cga.20,cga.s20,gamma.80,gamma.50,gamma.20,gamma.s20,decline.length.80,decline.length.50,decline.length.20
1,bvardcst,-52.18912021,110.7591928,3.52354006,-0.089885884,4.335733798,NA,bvardcst,-40.84768389,87.85223052,5.063711659,-0.066854926,5.458398357,NA,bvardcst,-26.68626045,59.54770337,6.040273348,-0.103806359,6.857500886,NA,bcstdcst,-1.609148604,7.312047209,4.59935394,NA,3.433379776,NA,4.847323819,6.275841638,0.444699324,3.328249233,6.128249233,93.34723836,5.028249233,4.328249233,2.5,67,157,141,131,5.864577948,5.605086704,5.360137451,4.211194588,5.899750147,4.799750147,4.099750147,2.271500914,0.407811182,0.392158116,0.406100417,0.226627002,2.799999998,1.699999998,0.999999998
2,bcstdcst,-7.003182975,18.32215542,6.924238413,NA,-6.987304162,NA,bvardvar,-14.98241117,38.64278843,4.40116612,-0.093816805,5.674433504,7.648370523,bvardcst,-20.60158784,47.66471415,5.332415002,-0.118826453,6.49118605,NA,bvardcst,1.729382369,2.916235263,5.235676462,-0.437045846,5.812171087,NA,5.059369135,5.399104427,0.974069672,2.839449469,8.639449469,13.73508516,5.939449,4.339449,1.8,41,64,56,68,5.397908929,5.382518555,5.320292629,4.463995556,8.420854852,5.720854852,4.120854853,1.581405384,0.634063944,0.524043515,0.428341703,0.178375437,5.800000002,3.099999533,1.499999533
3,bcstdcst,-10.82151905,26.44303811,3.654181328,NA,3.68516461,NA,bvardcst,-16.1798248,39.5596496,4.021257975,-0.189807233,5.685766198,NA,bcstdcst,-23.92519294,52.06091221,3.606149782,NA,3.102054637,NA,bcstdcst,-4.020149899,12.35608927,3.428419285,NA,1.868362762,NA,4.981873708,6.590710981,0.505834503,2.787768521,5.287768521,42.70507003,4.387768521,3.687768521,2,18,24,60,41,6.136445972,5.874530789,5.570243667,4.194251997,4.680617324,3.780617323,3.252222462,1.564453942,0.565012836,0.405083983,0.308412484,0.125751538,2.500000002,1.600000002,0.900000002
4,bvardcst,-7.670771459,21.55023857,7.923068521,-0.044498859,8.966619025,NA,bvardcst,66.61905864,-127.1550723,11.01708938,-0.069059396,12.58141305,NA,bvardcst,102.7531659,-199.4665966,8.497357145,-0.100472354,9.430299326,NA,bvardcst,319.462476,-632.8868568,8.273005181,-0.235211904,7.478728943,NA,8.604659874,9.141384054,0.985117262,2.877913989,6.977913989,265.2231432,5.177913989,4.077913989,2,119,293,608,634,9.131929434,9.085698841,8.976812802,7.866854315,6.938723132,5.138723133,4.038723133,1.960809144,0.576515395,0.557640901,0.426224685,0.214124103,4.099999999,2.299999999,1.199999999
5,bcstdcst,-5.93095677,17.36191354,3.047628013,NA,3.19427514,NA,bcstdcst,-5.153226563,14.82819226,5.140225697,NA,4.981781557,NA,bcstdcst,-9.383166964,23.1192751,4.42572551,NA,3.94529499,NA,bcstdvar,33.42202703,-60.45061144,4.75286657,NA,0.014882446,-6.944387419,5.866272044,7.716492286,0.716325499,1.99358422,4.09358422,18.01827688,3.29358422,2.79358422,1.4,11,26,37,65,7.305416984,6.98737339,6.673343014,4.885848435,2.009244054,2.765434021,2.265434021,0.871849801,0.318766229,0.459273014,0.330399111,0.055351842,2.099999999,1.299999999,0.799999999
6,bvardcst,-4.735742006,16.29907022,9.169758425,-0.120036225,11.71887228,NA,bvardcst,-28.27585589,62.94515441,5.134505536,-0.220589492,6.94939745,NA,bvardcst,-2.910712612,11.98694246,7.150909025,-0.229359871,8.871711439,NA,bcstdcst,79.61181949,-155.1675642,4.914738027,NA,1.889508251,NA,6.646847399,7.842343473,0.846993875,2.220767511,4.620767511,35.98915313,3.720767511,3.020767511,1.6,33,65,149,217,7.685769088,7.506775114,7.235226547,5.819816913,4.151208148,3.251208149,2.789803848,1.369036338,0.547747478,0.343982343,0.356384137,0.080444762,2.400000002,1.500000002,0.800000002
7,bvardvar,-613.3964098,1234.867308,2.160980067,-0.077105914,-3.104995176,7.497479398,bcstdcst,-1380.014643,2764.037792,2.58237716,NA,2.414188814,NA,bvardcst,-1924.394737,3854.800217,2.801487481,-0.074711815,3.188364443,NA,bvardcst,-1164.838043,2335.686594,2.932500841,-0.107403273,2.708740137,NA,2.790802156,3.853999563,0.196980113,6.537871513,11.13787151,272.4493491,9.437871513,8.137871513,5.1,542,1414,2238,2288,3.424368199,3.253480889,3.078220408,2.442697284,11.12437548,9.424375481,8.124375482,5.086503968,0.434148865,0.409223794,0.331128103,0.200237753,4.600000009,2.900000012,1.600000012
8,bvardcst,-54.16963213,114.5594477,5.688504469,-0.066923036,7.180751192,NA,bvardcst,-181.7473989,369.566654,4.733105613,-0.086796149,5.830152752,NA,bvardcst,-262.4862687,531.0166551,4.627798732,-0.10659298,5.498945934,NA,bvardcst,-113.3615838,232.7558207,4.474079141,-0.190645068,4.465978967,NA,4.677838751,5.649314965,0.396897171,4.43558915,8.03558915,353.3696323,6.73558915,5.63558915,3.4,113,338,548,739,5.416559832,5.259390402,5.045939188,4.183979927,7.946328235,6.646328235,5.546328236,3.310739087,0.539064037,0.441256739,0.377356878,0.213487117,3.599999996,2.299999996,1.199999996
9,bvardcst,-2.78921196,12.30569665,8.512161798,-0.16666921,-11.55346844,NA,bvardcst,11.76338844,-17.30659338,8.891228079,-0.181425756,11.1190602,NA,bvardcst,21.89352988,-37.65146654,8.500067591,-0.254345494,10.56731188,NA,bcstdcst,93.53527789,-183.0031401,7.010541989,NA,4.433372786,NA,7.823547047,9.688514415,0.825103747,1.996958022,3.896958022,63.31963566,3.196958022,2.696958022,1.4,37,113,181,181,9.299622397,8.995622279,8.641784504,6.636518249,3.832579081,3.132579082,2.632579082,1.33562106,0.524028779,0.44760736,0.371036896,0.166207094,1.899999999,1.199999999,0.699999999
10,bvardcst,-19.35122788,45.05028185,6.837372899,-0.089432162,8.459828649,NA,bvardcst,14.70342181,-23.31524057,8.185894593,-0.087035895,9.412176396,NA,bvardcst,-2.007782745,10.07270835,6.710309561,-0.120034015,7.450324704,NA,bvardcst,140.7046192,-275.3445484,8.327202331,-0.22173551,8.443780655,NA,6.913445791,8.130751292,0.593124684,3.201710484,5.901710484,468.2845525,4.901710484,4.101710484,2.4,73,266,424,375,7.885334381,7.686636475,7.416965523,6.172299836,5.340519961,4.742257413,3.942257412,2.240546928,0.525897927,0.482919268,0.375213135,0.27471635,2.700000001,1.700000001,0.900000001
11,bvardcst,-17.23332964,41.15237357,5.507691117,-0.018871739,6.087423969,NA,bcstdcst,-21.32020563,46.85093757,4.581165494,NA,4.500848069,NA,bvardcst,-74.36920315,154.9833043,3.701560165,-0.09875044,4.697620249,NA,bvardcst,-28.43858439,63.03610918,4.857775161,-0.213964032,5.479767519,NA,4.157947495,4.453263716,0.635614219,4.268856371,11.36885637,39.31164663,8.168856371,6.268856371,2.9,39,60,102,155,4.450024971,4.428505652,4.3704314,3.748324704,10.91312812,7.713128116,6.086081698,2.717225327,0.660383165,0.511962895,0.408536656,0.263946998,7.1,3.900000001,2.000000001
12,bvardcst,-17.73774542,42.51896911,4.308955696,-0.101968253,5.735279812,NA,bvardcst,-48.46035543,103.1844471,5.601891988,-0.132055329,7.179916341,NA,bvardcst,-58.63534915,123.4047765,4.97903565,-0.138192539,5.822906423,NA,bvardcst,-11.64772918,29.41790733,4.404111716,-0.250760177,4.130362651,NA,4.632148231,6.131443235,0.44382504,3.173401755,5.873401755,58.53212081,4.873401755,4.173401755,2.4,27,95,183,200,5.679108409,5.426408049,5.169529053,4.018144593,5.759404953,4.759404953,4.059404954,2.286003199,0.521549761,0.406347165,0.350644628,0.170510106,2.700000002,1.700000002,1.000000002
13,bvardcst,-29.52915553,65.98138798,3.181312863,-0.149526155,5.09904058,NA,bvardcst,-74.38895247,154.9762521,4.992641789,-0.129802782,6.469852361,NA,bvardvar,-81.50157908,171.142047,3.751748005,-0.19284714,5.053306864,6.687125878,bcstdcst,18.27274742,-32.51120913,4.462701723,NA,2.927936456,NA,4.833718375,6.276415933,0.414365959,3.548275165,6.448275165,139.3251969,5.348275165,4.548275165,2.7,30,125,293,353,5.84260506,5.592105806,5.323140399,4.226064894,6.343895649,5.243895649,4.443895649,2.595620485,0.391750798,0.394415379,0.359821092,0.175276972,2.900000001,1.800000001,1.000000001
14,bvardcst,-216.0048451,438.0735201,4.737850251,-0.07429062,5.89383193,NA,bvardcst,-275.4036238,556.8402601,5.682632729,-0.085543407,6.820951697,NA,bvardcst,-482.198624,970.417484,4.577443899,-0.107568719,5.237426684,NA,bvardcst,-68.45330734,142.9276673,4.472784138,-0.148757048,3.954553427,NA,4.883882136,6.099603793,0.393591344,4.097869491,7.397869491,336.0310012,6.197869491,5.297869491,3.1,380,731,1190,1144,5.767900226,5.567652828,5.341527885,4.299056535,7.269368961,6.069368962,5.169368962,2.97149947,0.473836501,0.452730397,0.352283626,0.192150822,3.300000001,2.100000001,1.200000001
