tree.number.20,median.shifts.20,ESS.shifts.20,ESS.logLik.20,root.lambda.mean.20,root.mu.mean.20,root.lambda.decay.20,root.mu.decay.20,tip.lambda.mean.20,tip.mu.mean.20,median.shifts.50,ESS.shifts.50,ESS.logLik.50,root.lambda.mean.50,root.mu.mean.50,root.lambda.decay.50,root.mu.decay.50,tip.lambda.mean.50,tip.mu.mean.50,median.shifts.80,ESS.shifts.80,ESS.logLik.80,root.lambda.mean.80,root.mu.mean.80,root.lambda.decay.80,root.mu.decay.80,tip.lambda.mean.80,tip.mu.mean.80,median.shifts.s20,ESS.shifts.s20,ESS.logLik.s20,root.lambda.mean.s20,root.mu.mean.s20,root.lambda.decay.s20,root.mu.decay.s20,tip.lambda.mean.s20,tip.mu.mean.s20
1,0,631,297.7778408,5.625466941,0.825313626,-0.44222707,-0.44222707,0.481769093,0.825327719,0,541,385.2106178,5.659453457,0.891853433,-0.428893488,-0.428893488,0.340367748,0.891948407,0,586,277.2582446,5.668841809,0.874712881,-0.434596138,-0.434596138,0.172313671,0.874748399,0,271,271,0.735239351,0.016980916,1.555496325,1.555496325,1.464113233,0.017669991
2,0,271,275.9534588,4.207270886,1.575745178,-0.501519486,-0.501519486,1.420230922,1.5960937,0,361,292.453581,3.491716837,1.241157537,-0.500237744,-0.500237744,1.056622904,1.291511319,0,271,271,1.62110845,0.476254102,-0.528085647,-0.528085647,0.333815516,0.4892282,0,282.9185216,316,9.436149114,2.112276592,-1.562519559,-1.562519559,2.597525685,2.1391938
3,0,316,316,10.64192418,1.860529304,-0.998110446,-0.998110446,0.810506419,1.862080772,0,406,274.6779545,10.11689542,1.798514527,-0.954276569,-0.954276569,0.492086271,1.798919709,0,273.2346023,345.4375245,8.996689668,1.698639778,-0.886049607,-0.886049607,0.281845512,1.698922247,0,208.9585396,361,11.86679066,2.547930507,-1.009793108,-1.009793108,3.132020818,2.548650771
4,0,271.0553546,451,5.976827627,0.451685727,-0.856669239,-0.856669239,0.182500023,0.45227584,0,316,316,6.416082089,0.569538747,-0.856164203,-0.856164203,0.0774673,0.569652427,0,361,270.6875062,6.905662465,0.747397839,-0.783247133,-0.783247133,0.03466256,0.747465478,0,271,271,7.895968893,1.120913026,-0.86075248,-0.86075248,1.378926822,1.121608629
5,0,331.8465066,265.7001324,2.025327719,0.815372262,-0.105834691,-0.105834691,0.934399442,0.819446689,0,294.3427458,769.4193669,2.421610475,0.869370693,-0.183196128,-0.183196128,0.581987698,0.866426893,0,419.6227203,273.5140458,4.069066136,1.919750803,-0.160899613,-0.160899613,1.009483939,1.945800072,0,273.9434781,646.9060333,2.566508176,1.484802972,0.037351095,0.037351095,2.284170043,1.499294876
6,0,256.4583231,316,4.8455425,0.821628758,-0.808220582,-0.808220582,0.608843405,0.830404317,0,383.4956835,287.3869245,4.21812411,0.712506862,-0.79942369,-0.79942369,0.371638368,0.729192049,0,316,316,3.560017304,0.838631802,-0.622914945,-0.622914945,0.279047109,0.843206315,0,322.0999733,406,8.743393005,2.807538824,-0.741324848,-0.741324848,3.392775943,2.83367578
7,0,271,271,6.24929738,0.949829324,-0.838954185,-0.838954185,0.445094538,0.951060045,0,271,271,7.114471144,1.402176421,-0.76829038,-0.76829038,0.387785272,1.403834607,0,271,271,6.152713801,1.748714551,-0.60772655,-0.60772655,0.417251683,1.748302422,0,265.6058274,316,5.648475633,0.919591283,-0.542317694,-0.542317694,2.275981225,0.927329184
8,0,356.3657767,395.8497981,4.573917449,1.905095059,-0.240408811,-0.240408811,1.476570549,1.905230149,0,245.8110871,316,4.306554715,1.658082247,-0.260213899,-0.260213899,1.036635444,1.658556705,0,458.3588159,297.9619189,4.700600785,2.206820768,-0.214941198,-0.214941198,1.190382842,2.206236621,0,271,286.5410296,3.727556642,1.558896939,-0.132974341,-0.132974341,2.384456959,1.559518904
9,0,541,378.4359777,2.337429076,0.400438658,-0.257650449,-0.257650449,0.215344391,0.400579705,0,199.2805142,271,2.206048967,0.37942307,-0.251646354,-0.251646354,0.127875628,0.379615705,0,316,258.5736181,2.271744684,0.388681487,-0.255154111,-0.255154111,0.062821614,0.389038291,0,316,261.1755543,2.930784589,0.656142396,-0.26737807,-0.26737807,0.774780346,0.656547737
10,0,232.8413924,451,6.394590115,0.584905037,-0.811237956,-0.811237956,0.268922165,0.585122387,0,287.4378977,1437.320016,6.37371105,0.588180084,-0.826691555,-0.826691555,0.122114687,0.588088843,0,361,252.4410741,6.333450609,0.835099194,-0.717415249,-0.717415249,0.078037655,0.835361254,0,262.9980052,451,7.031081729,0.875973965,-0.777987729,-0.777987729,1.539509695,0.877330432
