tree.number,models80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.init.sim.80,lambda.final.sim.80,alpha.sim.80,mu.sim.80,netdiv.sim.80,ntip.80,lambda.init.sim.50,lambda.final.sim.50,alpha.sim.50,mu.sim.50,netdiv.sim.50,ntip.50,lambda.init.sim.20,lambda.final.sim.20,alpha.sim.20,mu.sim.20,netdiv.sim.20,ntip.20,lambda.init.sim.s20,lambda.final.sim.s20,alpha.sim.s20,mu.sim.s20,netdiv.sim.s20,ntip.s20,time.80,time.50,time.20,time.s20,decline.length.80,decline.length.50,decline.length.20,gamma.80,gamma.50,gamma.20,gamma.s20,cga.80,cga.50,cga.20,cga.s20
1,bvardcst,-1308.117526,2622.270979,0.168139319,-0.438284169,0.873352561,NA,bvardcst,-3143.182677,6292.378967,0.339932351,-0.430426707,0.898147547,NA,bvardcst,-4176.873871,8359.756488,0.481976797,-0.445630966,0.83794364,NA,bvardcst,-1648.269738,3302.548573,1.416065739,-0.424733829,0.839575051,NA,5.5624,0.173941428,0.4290488,0.8881175,-0.714176072,672,5.5624,0.331057416,0.4290488,0.8881175,-0.557060084,1767,5.5624,0.508436648,0.4290488,0.8881175,-0.379680852,2748,5.5624,1.409272353,0.4290488,0.8881175,0.521154854,2642,8.076159,6.576159,5.576159,3.2,3.8,2.3,1.3,-0.426923974,-0.243197806,-0.177218893,-0.118657399,8.0559016,6.555901601,5.555901602,4.855901601
2,bvardcst,-11.79344884,34.38689769,0.072282261,-1.058455116,3.01E-07,NA,bvardcst,-21.88429187,51.18034844,0.885776128,-0.733849084,1.671231628,NA,bcstdcst,-19.19127083,42.95397022,1.180062055,NA,3.17E-07,NA,bcstdcst,0.7426812,2.928430703,2.784112548,NA,4.33E-07,NA,8.972588,0.325207079,0.9870333,1.922001,-1.596793921,9,8.972588,0.648969328,0.9870333,1.922001,-1.273031672,21,8.972588,1.063054987,0.9870333,1.922001,-0.858946013,24,8.972588,3.029620977,0.9870333,1.922001,1.107619977,32,3.361049,2.661049,2.161049,1.1,1.8,1.1,0.6,-0.499904527,-0.105290578,-0.050971054,0.015953938,3.046526296,2.346526296,1.846526296,1.946526296
3,bvardcst,-100.5431933,207.3940789,0.191312638,-0.979255438,1.535635799,NA,bvardcst,-233.6178905,473.3545928,0.451359932,-0.991935872,1.787836293,NA,bvardcst,-335.6446686,677.3540272,0.80574805,-1.022092445,1.946057969,NA,bvardcst,42.97618628,-79.89468026,3.17520651,-1.116839699,2.943530845,NA,9.563056,0.194646677,0.9758744,1.510993,-1.316346323,82,9.563056,0.424913459,0.9758744,1.510993,-1.086079541,206,9.563056,0.763116086,0.9758744,1.510993,-0.747876915,375,9.563056,2.689272259,0.9758744,1.510993,1.178279259,420,3.990756,3.190756,2.590756,1.3,2.1,1.3,0.7,-0.514428896,-0.349777502,-0.235163748,-0.243673203,3.983899784,3.183899785,2.583899785,2.683899785
4,bvardcst,-210.6091495,427.3721452,0.0124393,-0.926811236,0.578153608,NA,bvardcst,-626.5903832,1259.239161,0.068802538,-0.88371435,0.556531718,NA,bvardcst,-926.5555867,1859.146888,0.179942197,-0.870971279,0.48228456,NA,bvardcst,-325.799012,657.632212,1.386589202,-0.883980498,1.195220922,NA,7.426252,0.018389197,0.8614918,0.5769359,-0.558546703,160,7.426252,0.079543135,0.8614918,0.5769359,-0.497392765,415,7.426252,0.205190831,0.8614918,0.5769359,-0.371745069,676,7.426252,1.216391282,0.8614918,0.5769359,0.639455382,706,6.965839,5.265839,4.165839,2.1,4,2.3,1.2,-0.765055894,-0.562007888,-0.412702916,-0.493759907,6.877603852,5.177603852,4.077603853,4.777603852
5,bvardcst,-56.06521912,119.0193271,1.113115908,-0.161455514,-2.19778572,NA,bvardcst,-136.8237146,279.9952552,0.599338639,-0.203718301,0.990521129,NA,bvardcst,-222.879169,451.9152007,0.968421187,-0.137559149,0.976855956,NA,bcstdcst,-114.3613946,232.7846449,2.260066846,NA,-1.373988983,NA,4.821523,0.996321745,0.1645601,1.831596,-0.835274255,31,4.821523,1.233977995,0.1645601,1.831596,-0.597618005,73,4.821523,1.454705091,0.1645601,1.831596,-0.37689091,157,4.821523,2.224778552,0.1645601,1.831596,0.393182552,197,9.581757,8.281757,7.281757,4.7,3.7,2.4,1.4,0.090677263,-0.00193128,0.079562592,0.115734542,8.902363107,7.602363108,6.602363109,4.202363109
6,bvardcst,-31.47524173,70.36224817,0.181905527,-0.818518611,1.015604342,NA,bvardcst,-47.23930545,101.2058836,0.262961183,-0.922901357,0.692049527,NA,bvardcst,-55.44629697,117.3725939,0.504803032,-0.878719687,0.681156112,NA,bcstdcst,-0.321548944,4.883097889,2.731423615,NA,0.058343328,NA,8.162276,0.127608745,0.9209441,1.163555,-1.035946255,21,8.162276,0.320509849,0.9209441,1.163555,-0.843045151,37,8.162276,0.556952226,0.9209441,1.163555,-0.606602774,54,8.162276,2.050547646,0.9209441,1.163555,0.886992646,53,4.515268,3.515268,2.915268,1.5,2.4,1.4,0.8,-0.444018445,-0.361378045,-0.258145018,-0.261748755,4.126635344,3.126635344,2.526635345,2.626635345
7,bvardcst,-26.07941264,59.65882528,0.219617472,-0.767521796,1.676000232,NA,bvardcst,-81.41732865,169.2557099,0.31954831,-0.84923854,1.452271793,NA,bvardcst,-131.2032198,268.626623,0.419572567,-0.922295642,1.112702163,NA,bvardcst,-22.04730086,50.24460172,2.168715541,-0.620243011,-0.828980966,NA,6.744666,0.198315874,0.7393723,1.259275,-1.060959126,20,6.744666,0.385791147,0.7393723,1.259275,-0.873483853,61,6.744666,0.647330357,0.7393723,1.259275,-0.611944643,113,6.744666,2.066293227,0.7393723,1.259275,0.807018227,164,4.769784,3.869784,3.169784,1.6,2.5,1.6,0.9,-0.52516972,-0.391187751,-0.310323541,-0.310323541,4.645436182,3.844191325,3.144191326,3.144191326
8,bvardcst,-89.49490511,185.4426404,1.282776539,-0.220894598,2.472532297,NA,bvardcst,-223.5371718,453.2343436,1.050846974,-0.273835709,-1.768562254,NA,bvardcst,-272.1147292,550.3307242,1.47668786,-0.254107621,1.972218619,NA,bvardcst,-125.2068959,256.4985974,2.442444372,-0.204540814,1.855724633,NA,6.043918,0.788845952,0.3113557,1.88629,-1.097444048,57,6.043918,1.07699147,0.3113557,1.88629,-0.80929853,154,6.043918,1.381619053,0.3113557,1.88629,-0.504670948,241,6.043918,2.450080662,0.3113557,1.88629,0.563790662,287,6.539905,5.539905,4.739905,2.9,2.8,1.8,1,0.09244571,0.041283585,0.091960824,0.095171053,6.464732651,5.464732651,4.66473265,3.564732651
9,bvardcst,-255.4188285,517.0850798,0.047288646,-0.275989274,0.363957191,NA,bvardcst,-599.7854617,1205.670097,0.120805481,-0.261027082,0.382813729,NA,bvardcst,-822.0986798,1650.261531,0.212494625,-0.264816487,0.415204728,NA,bvardcst,-483.4746156,973.0134023,0.789587829,-0.290401317,0.753765049,NA,2.323215,0.058964898,0.2578486,0.3974315,-0.338466602,101,2.323215,0.124549567,0.2578486,0.3974315,-0.272881933,246,2.323215,0.214044905,0.2578486,0.3974315,-0.183386595,378,2.323215,0.656714348,0.2578486,0.3974315,0.259282848,378,14.24776,11.347758,9.247758,4.9,7.400002,4.5,2.4,-0.514422529,-0.318239248,-0.220260409,-0.236602607,14.24512419,11.34512219,9.24512219,9.34512419
10,bvardcst,-323.3045379,652.7255807,0.058355178,-0.760861112,0.765261914,NA,bvardcst,-829.8631687,1665.770133,0.115036906,-0.843942464,0.576861955,NA,bvardcst,-1181.628604,2369.284053,0.267836824,-0.823782828,0.604602117,NA,bvardcst,-329.0212534,664.0694732,1.546482776,-0.788151322,0.926203114,NA,8.209677,0.055141209,0.7763133,0.7722917,-0.717150491,210,8.209677,0.163487404,0.7763133,0.7722917,-0.608804297,552,8.209677,0.328789561,0.7763133,0.7722917,-0.443502139,898,8.209677,1.487987179,0.7763133,0.7722917,0.71569548,894,6.444784,5.044784,4.144784,2.2,3.4,2,1.1,-0.628683131,-0.486825052,-0.35318588,-0.371074451,6.181252431,4.781252432,3.881252433,3.981252432
